,Restaurants,lat-long
9153,stone baked pizzeria 1 shahdara new delhi,"28.6759540000,77.2803050000"
9154,murthal ke special parathe 2 rohini new delhi,"28.7103163395,77.0712999254"
9155,dhodha sweets nehru nagar ghaziabad,"28.6571814285,77.4273544550"
9156,meat craft kirti nagar new delhi,"28.6499048631,77.1348414570"
9157,zaika kathi rolls govind puram ghaziabad,"28.6912208768,77.4870963022"
9158,goverdhan da dhaba kamla nagar new delhi,"28.6698059480,77.1925830469"
9159,cake and bake 1 east of kailash new delhi,"28.5567210000,77.2412980000"
9160,laddu gopal sweet and snacks mayapuri new delhi,"28.6303961046,77.1252314374"
9161,the pizza hub narela new delhi,"28.7971112454,77.0303033665"
9162,roti boti sector 56 gurgaon,"28.4272110000,77.0926170000"
9163,moets rajouri garden new delhi,"28.6435465000,77.1176218000"
9164,shere punjab yusuf sarai new delhi,"28.5608658596,77.2081743926"
9165,amrik sukhdev rasoi uttam nagar new delhi,"28.6176400000,77.0286140000"
9166,the golden spoon malviya nagar new delhi,"28.5342285832,77.2601519153"
9167,garden hut anand vihar new delhi,"28.6633631114,77.3033418506"
9168,cuts n knife rajouri garden new delhi,"28.6403400000,77.1171020000"
9169,mealbox by dana choga sector 83 gurgaon,"28.3927089000,76.9671670000"
9170,doner gyros sector 14 dwarka new delhi,"28.6007295112,77.0321584493"
9171,bmb restaurant manesar gurgaon,"28.3737071000,76.9081523000"
9172,kerala restaurant munirka new delhi,"28.5548115476,77.1732661128"
9173,veer ji kulcha land dlf phase 3 gurgaon,"28.4925970000,77.0943440000"
9174,momosman pandav nagar new delhi,"28.6164323994,77.2874454036"
9175,barkha food corner mg road gurgaon,"28.4763494133,77.0827392738"
9176,jail pizza cafe shahdara new delhi,"28.6682470000,77.2891480000"
9177,burger brat rajouri garden new delhi,"28.6417198181,77.1163787842"
9178,hotspot roll corner rohini new delhi,"28.7169077174,77.1078560874"
9179,ramu pakora sector 31 gurgaon,"28.4528381472,77.0510298014"
9180,order cake online 1 paschim vihar new delhi,"28.6696638633,77.0897273719"
9181,etonway uttam nagar new delhi,"28.6198720000,77.0359480000"
9182,pizza diet 7 shahdara new delhi,"28.6840330000,77.2655080000"
9183,kaka meat wale rohini new delhi,"28.7330262614,77.1220801771"
9184,creambell sector 15 gurgaon,"28.4545021558,77.0391231403"
9185,sher e punjab rajouri garden new delhi,"28.6502220000,77.1173890000"
9186,pinch of spice rohini new delhi,"28.7345035000,77.1206444000"
9187,aslam chicken family restaurant khanpur new delhi,"28.4989555300,77.2286212072"
9188,olivie greater kailash gk 1 new delhi,"28.5498550000,77.2356760000"
9189,kaalu kharode waala janakpuri new delhi,"28.6158846671,77.0776909590"
9190,addys den safdarjung new delhi,"28.5656570000,77.1957610000"
9191,saraswati tiffins sector 10 dwarka new delhi,"28.5847866881,77.0692664757"
9192,al chand foods paharganj new delhi,"28.6469584342,77.2130982578"
9193,the nagaland mint r k puram new delhi,"28.5774070000,77.1740920000"
9194,stone baked pizzeria 1 shahdara new delhi,"28.6759540000,77.2803050000"
9195,murthal ke special parathe 2 rohini new delhi,"28.7103163395,77.0712999254"
9196,dhodha sweets nehru nagar ghaziabad,"28.6571814285,77.4273544550"
9197,meat craft kirti nagar new delhi,"28.6499048631,77.1348414570"
9198,zaika kathi rolls govind puram ghaziabad,"28.6912208768,77.4870963022"
9199,goverdhan da dhaba kamla nagar new delhi,"28.6698059480,77.1925830469"
9200,cake and bake 1 east of kailash new delhi,"28.5567210000,77.2412980000"
9201,laddu gopal sweet and snacks mayapuri new delhi,"28.6303961046,77.1252314374"
9202,the pizza hub narela new delhi,"28.7971112454,77.0303033665"
9203,roti boti sector 56 gurgaon,"28.4272110000,77.0926170000"
9204,moets rajouri garden new delhi,"28.6435465000,77.1176218000"
9205,shere punjab yusuf sarai new delhi,"28.5608658596,77.2081743926"
9206,cakes hi cakes tilak nagar new delhi,"28.6482248144,77.1039789543"
9207,dhaba branded 1 rohini new delhi,"28.7153080000,77.1347660000"
9208,lebanese affaire rajouri garden new delhi,"28.6397840000,77.1180400000"
9209,the chick choice janakpuri new delhi,"28.6236494833,77.0817176253"
9210,indocheen sector 45 noida,"28.5486331931,77.3441053927"
9211,hot tasty momos corner sector 15 faridabad,"28.3955956488,77.3239747435"
9212,narangs bake n cake civil lines new delhi,"28.7027170380,77.2221208736"
9213,fauji ki rasoi dlf phase 3 gurgaon,"28.4935756857,77.0951816440"
9214,raj chinese foods netaji subhash place new delhi,"28.6945322183,77.1484486386"
9215,ancient kitchen gaur city 2 greater noida,"28.6191966229,77.4236979336"
9216,anands wale anant sector 7 dwarka,"28.5868295746,77.0720479265"
9217,calorie meter sector 22 gurgaon,"28.5031273872,77.0630427450"
9218,shree ram bhatura dlf phase 3 gurgaon,"28.4918159356,77.0939897373"
9219,happy bunch cakes sector 15 gurgaon,"28.4553664277,77.0383030549"
9220,wokofusion vasant kunj new delhi,"28.5151977071,77.1649210900"
9221,zoe sector 23 gurgaon,"28.5150972471,77.0456643775"
9222,pizza 4 you laxmi nagar new delhi,"28.6347578550,77.2812364250"
9223,chinese zaika rajouri garden new delhi,"28.6497003752,77.1227346361"
9224,bansal eggless cake najafgarh new delhi,"28.6090800112,76.9850498065"
9225,the olive route 1 shahpur jat new delhi,"28.5488930000,77.2114640000"
9226,the thick shake bar shalimar bagh new delhi,"28.7094888000,77.1550086000"
9227,manokamana chinese food raj nagar ghaziabad,"28.6725143451,77.4426420406"
9228,babu red chilly fast food raj nagar ghaziabad,"28.6826398416,77.4476286024"
9229,pubg momo and chinese kapashera new delhi,"28.5324821772,77.0528989658"
9230,thali junction 75 sector 72 noida,"28.5717692000,77.3856186000"
9231,flame n spice paschim vihar new delhi,"28.6747220000,77.1036110000"
9232,shahi biryani hub 1 chhatarpur new delhi,"28.4991222000,77.1842025000"
9233,momos khayega kya jangpura new delhi,"28.5758857727,77.2567062378"
9234,kanahiya lal chaat caterers ip extension new delhi,"28.6349494241,77.3037565872"
9235,pizzburg factory sector 37 noida,"28.5652466921,77.3414459825"
9236,the cake room sector 45 noida,"28.5528269391,77.3534870893"
9237,the snookhook cafe kalkaji new delhi,"28.5417337641,77.2549993917"
9238,shri balaji sweet corner sector 125 noida,"28.5392788297,77.3349355906"
9239,delhi zayka chicken corner manesar gurgaon,"28.3691410000,76.9467960000"
9240,indocheen sector 45 noida,"28.5486331931,77.3441053927"
9241,hot tasty momos corner sector 15 faridabad,"28.3955956488,77.3239747435"
9242,narangs bake n cake civil lines new delhi,"28.7027170380,77.2221208736"
9243,fauji ki rasoi dlf phase 3 gurgaon,"28.4935756857,77.0951816440"
9244,raj chinese foods netaji subhash place new delhi,"28.6945322183,77.1484486386"
9245,ancient kitchen gaur city 2 greater noida,"28.6191966229,77.4236979336"
9246,anands wale anant sector 7 dwarka,"28.5868295746,77.0720479265"
9247,calorie meter sector 22 gurgaon,"28.5031273872,77.0630427450"
9248,shree ram bhatura dlf phase 3 gurgaon,"28.4918159356,77.0939897373"
9249,happy bunch cakes sector 15 gurgaon,"28.4553664277,77.0383030549"
9250,wokofusion vasant kunj new delhi,"28.5151977071,77.1649210900"
9251,zoe sector 23 gurgaon,"28.5150972471,77.0456643775"
9252,pizza 4 you laxmi nagar new delhi,"28.6347578550,77.2812364250"
9253,chinese zaika rajouri garden new delhi,"28.6497003752,77.1227346361"
9254,bansal eggless cake najafgarh new delhi,"28.6090800112,76.9850498065"
9255,food valley the chef food truck,"28.6696962221,77.1426839009"
9256,soda junction naraina new delhi,"28.6236332968,77.1392325684"
9257,momo mia sector 37 noida,"28.5654177755,77.3404917866"
9258,chefs kitchen sector 49 faridabad,"28.4006030000,77.2748433000"
9259,moreish bites laxmi nagar new delhi,"28.6414101905,77.2768999636"
9260,kays bake land sector 37 faridabad,"28.4803208519,77.3115933314"
9261,happy shakes sector 50 gurgaon,"28.4218763274,77.0536040515"
9262,ahir di chaap kavi nagar ghaziabad,"28.6692296654,77.4553560466"
9263,harish kitchen west patel nagar new delhi,"28.6527055709,77.1598989889"
9264,guru ji thali wala karampura new delhi,"28.6642392027,77.1453087777"
9265,the home kitchen 1 rohini new delhi,"28.7187380000,77.0809970000"
9266,fitgrub vasant kunj new delhi,"28.5152548603,77.1644084528"
9267,hello china shalimar bagh,"28.7200994582,77.1689541265"
9268,moms food sector 62 noida,"28.6223890000,77.3713820000"
9269,yadav namkeen and bakers kamla nagar new delhi,"28.6777503223,77.2051921114"
9270,mama meat jail road new delhi,"28.6356956871,77.0967296138"
9271,pishori chicken sector 12 dwarka new delhi,"28.5954643725,77.0417590812"
9272,doom pizza shalimar garden,"28.6937130000,77.3316400000"
9273,chandan burger snacks geeta colony new delhi,"28.6505483352,77.2742083669"
9274,s k bikaneri 1 rohini new delhi,"28.7301894814,77.0625897869"
9275,punjabi sahib e aalam paschim vihar new delhi,"28.6645928144,77.0917269588"
9276,surya foods sector 83 gurgaon,"28.3829217250,76.9683285803"
9277,urban darbaar hajipur,"28.5373587278,77.3652770743"
9278,mausa ka samosa shahdara new delhi,"28.6978700000,77.2621000000"
9279,new frontier namkeen house karol bagh new delhi,"28.6523795757,77.1949068457"
9280,they make tacos kamla nagar new delhi,"28.6807220642,77.2071725875"
9281,halal kitchen by masala room sector 72 noida,"28.5688520478,77.3999617249"
9282,smokey kitchen dlf phase 2 gurgaon,"28.4812002370,77.0857640728"
9283,khalsa veg corner jail road new delhi,"28.6352360415,77.0970819891"
9284,bakeyard krishna nagar new delhi,"28.6489698060,77.2862521559"
9285,madhuvan chinese fast food nit faridabad,"28.3816100000,77.3020070000"
9286,indian zaika rohini new delhi,"28.7100352205,77.1152016521"
9287,safapore kalkaji new delhi,"28.5438490558,77.2512218356"
9288,evening rolls crossing republik ghaziabad,"28.6261616020,77.4357115477"
9289,the vanilla bean sector 50 noida,"28.5691247118,77.3664334416"
9290,iras food beverage delhi university gtb nagar new delhi,"28.6960777105,77.2132518142"
9291,drool over paranthas karol bagh new delhi,"28.6484050000,77.1860500000"
9292,pakode wala indirapuram ghaziabad,"28.6395402109,77.3776336759"
9293,banaaras palam vihar gurgaon,"28.5115905146,77.0397242904"
9294,sai kathi zone hauz khas new delhi,"28.5602739606,77.2094843164"
9295,game of pizzas west patel nagar new delhi,"28.6519370681,77.1611525863"
9296,the iconic sandwich geeta colony new delhi,"28.6468220000,77.2753916000"
9297,meal at 99 dlf phase 4 gurgaon,"28.4614924745,77.0827774331"
9298,gujrat namkeen bhandar paschim vihar new delhi,"28.6680226683,77.1016675606"
9299,sr snacks confectioners sector 49 faridabad,"28.3960340000,77.2724630000"
9300,k2 kitchen 3 rajouri garden new delhi,"28.6444644928,77.1194152832"
9301,sharma sweets and snacks sector 37 faridabad,"28.4804516992,77.3115973547"
9302,dwarka namkeen corner punjabi bagh new delhi,"28.6670689455,77.1171656996"
9303,online cake flower com sohna road gurgaon,"28.4215507967,77.0392532274"
9304,tasty bites fast food rohini new delhi,"28.7025876434,77.1217026562"
9305,cake nation punjabi bagh new delhi,"28.6632541000,77.1348607000"
9306,paratha mania tilak nagar new delhi,"28.6432036330,77.0984924957"
9307,kathi roll corner lajpat nagar 2 new delhi,"28.5686700000,77.2396200000"
9308,om veg food and choole kulche netaji subhash place new delhi,"28.6881830000,77.1463660000"
9309,bellyful crossing republik ghaziabad,"28.6310797184,77.4346577749"
9310,kakori grill 1 greater kailash gk 2 new delhi,"28.5362609639,77.2413298488"
9311,frozen scoops indirapuram ghaziabad,"28.6368610000,77.3637780000"
9312,urban village restaurant shahpur jat new delhi,"28.5484120000,77.2111350000"
9313,gupta bakers chinese fast food tilak nagar new delhi,"28.6488144528,77.1032544225"
9314,cake central premier cake design studio defence colony new delhi,"28.5781375375,77.2383059934"
9315,madhuvan chinese fast food nit faridabad,"28.3816100000,77.3020070000"
9316,indian zaika rohini new delhi,"28.7100352205,77.1152016521"
9317,safapore kalkaji new delhi,"28.5438490558,77.2512218356"
9318,evening rolls crossing republik ghaziabad,"28.6261616020,77.4357115477"
9319,the vanilla bean sector 50 noida,"28.5691247118,77.3664334416"
9320,iras food beverage delhi university gtb nagar new delhi,"28.6960777105,77.2132518142"
9321,drool over paranthas karol bagh new delhi,"28.6484050000,77.1860500000"
9322,pakode wala indirapuram ghaziabad,"28.6395402109,77.3776336759"
9323,banaaras palam vihar gurgaon,"28.5115905146,77.0397242904"
9324,sai kathi zone hauz khas new delhi,"28.5602739606,77.2094843164"
9325,game of pizzas west patel nagar new delhi,"28.6519370681,77.1611525863"
9326,the iconic sandwich geeta colony new delhi,"28.6468220000,77.2753916000"
9327,meal at 99 dlf phase 4 gurgaon,"28.4614924745,77.0827774331"
9328,gujrat namkeen bhandar paschim vihar new delhi,"28.6680226683,77.1016675606"
9329,sr snacks confectioners sector 49 faridabad,"28.3960340000,77.2724630000"
9330,masala story 1 vivek vihar new delhi,"31.8516568448,76.9042093679"
9331,chip chap shahi corner sector 10 noida,"28.5896817182,77.3328367621"
9332,hot and spicy uttam nagar new delhi,"28.6114603223,77.0588132367"
9333,pa dosa point rohini new delhi,"28.7057700000,77.1029430000"
9334,zaika4u dlf phase 3 gurgaon,"28.4896365394,77.0950854197"
9335,tabouleh the mediterranean eatery mg road gurgaon,"28.4786062657,77.0804784447"
9336,gopala nehru place new delhi,"28.5483507571,77.2522863373"
9337,amul rasoi azadpur new delhi,"28.7518749000,77.1966093000"
9338,sardarji da secret chicken lajpat nagar 4 new delhi,"28.5627540000,77.2450030000"
9339,foodiee vibes dlf phase 4 gurgaon,"28.4622358411,77.0814098418"
9340,new chinese hut punjabi bagh new delhi,"28.6706137384,77.1342262253"
9341,hello g sas kitchen paharganj new delhi,"28.6456476087,77.2141466662"
9342,the baketreez vasundhara ghaziabad,"28.6608183451,77.3782556131"
9343,jain food junction 1 rohini new delhi,"28.7050861079,77.0885384828"
9344,yumilicious krishna nagar new delhi,"28.6460642499,77.2894104570"
9345,sardar a pure meat shop vikaspuri new delhi,"28.6386577338,77.0765453205"
9346,the cake house kalkaji new delhi,"28.5325484522,77.2621303797"
9347,darjeeling momos moti bagh new delhi,"28.5799376546,77.1705842391"
9348,le bakerz charmwood village faridabad,"28.4924211845,77.2923652455"
9349,midnight canteen paharganj new delhi,"28.6453363036,77.2128501534"
9350,singh tadka jangpura new delhi,"28.5745472218,77.2569362819"
9351,rajouri chik barbeque rajouri garden new delhi,"28.6387651380,77.1200701967"
9352,yash foodies corner rohini new delhi,"28.7087301831,77.1016283333"
9353,handi punjab di sector 71 noida,"28.6003332956,77.3824398592"
9354,namaste bihar sector 58 noida,"28.6055861219,77.3574849218"
9355,diet guru alpha 1 greater noida,"28.4729639665,77.5146519765"
9356,cake story munirka new delhi,"28.5571383128,77.1730166674"
9357,happy pastry shop ip extension new delhi,"28.6223004013,77.3083535582"
9358,bansal best bake vaishali ghaziabad,"28.6372682365,77.3384452611"
9359,late night dine right gurugram dlf phase 4 gurgaon,"28.4727473457,77.0809129626"
9360,sonias cyberkitchen west patel nagar new delhi,"28.6497003752,77.1631122753"
9361,chai peeni hai janakpuri new delhi,"28.6296963007,77.0906466991"
9362,angels kitchen paschim vihar new delhi,"28.6676343553,77.0828934386"
9363,classic chicken corner krishna nagar new delhi,"28.6545588398,77.2821892798"
9364,zaika kathi rolls sector 72 noida,"28.5717556181,77.3923549801"
9365,health kitchen new friends colony new delhi,"28.5579552157,77.2747796774"
9366,cup cones uttam nagar new delhi,"28.6179887556,77.0330804586"
9367,havana palam vihar gurgaon,"28.5015000000,77.0442500000"
9368,love pizza sport sector 23 faridabad,"28.3613460000,77.2964270000"
9369,cakeaholic by vandana sainik farms new delhi,"28.5030528438,77.2001716867"
9370,calories clock dlf phase 4 gurgaon,"28.4625210000,77.0816660000"
9371,main land china hajipur,"28.5367021915,77.3664971441"
9372,the frying kitchen vasant kunj new delhi,"28.5261169318,77.1537520364"
9373,dial for cake south city 2 gurgaon,"28.4272105823,77.0375828817"
9374,sethi dairy sector 19 faridabad,"28.4167523472,77.3273553327"
9375,house of combos paharganj new delhi,"28.6403579449,77.2105856985"
9376,indinos pizza sector 41 noida,"28.5629377743,77.3625673726"
9377,brothers bakery loni ghaziabad,"28.7237480087,77.2893987224"
9378,dob nob sector 83 gurgaon,"28.4080061837,76.9347671047"
9379,green bowl krishna nagar new delhi,"28.6599510511,77.2831716388"
9380,fish wings gamma 1 greater noida,"28.4813251893,77.4988135323"
9381,krishna tiffin service catering rohini new delhi,"28.7430362542,77.1179891378"
9382,rimpyscurriesandbiryani,"28.6589345899,77.0840578526"
9383,chulha chowka lajpat nagar 1 new delhi,"28.5598696416,77.2464307398"
9384,pizza town naraina new delhi,"28.6355120645,77.1440481395"
9385,pm2am delivers sector 41 noida,"28.5635860000,77.3624730000"
9386,purani delhi k mashor parathe sector 18 noida,"28.5739070000,77.3246020000"
9387,dragon wagon paschim vihar new delhi,"28.6682291797,77.1120510623"
9388,bread crumbs sector 22 dwarka new delhi,"28.5600372000,77.0594013110"
9389,the masala chapter sikandarpur gurgaon,"28.4834510000,77.0968780000"
9390,singh tadka jangpura new delhi,"28.5745472218,77.2569362819"
9391,rajouri chik barbeque rajouri garden new delhi,"28.6387651380,77.1200701967"
9392,yash foodies corner rohini new delhi,"28.7087301831,77.1016283333"
9393,handi punjab di sector 71 noida,"28.6003332956,77.3824398592"
9394,namaste bihar sector 58 noida,"28.6055861219,77.3574849218"
9395,diet guru alpha 1 greater noida,"28.4729639665,77.5146519765"
9396,cake story munirka new delhi,"28.5571383128,77.1730166674"
9397,happy pastry shop ip extension new delhi,"28.6223004013,77.3083535582"
9398,bansal best bake vaishali ghaziabad,"28.6372682365,77.3384452611"
9399,late night dine right gurugram dlf phase 4 gurgaon,"28.4727473457,77.0809129626"
9400,sonias cyberkitchen west patel nagar new delhi,"28.6497003752,77.1631122753"
9401,chai peeni hai janakpuri new delhi,"28.6296963007,77.0906466991"
9402,angels kitchen paschim vihar new delhi,"28.6676343553,77.0828934386"
9403,classic chicken corner krishna nagar new delhi,"28.6545588398,77.2821892798"
9404,zaika kathi rolls sector 72 noida,"28.5717556181,77.3923549801"
9405,health kitchen new friends colony new delhi,"28.5579552157,77.2747796774"
9406,cup cones uttam nagar new delhi,"28.6179887556,77.0330804586"
9407,havana palam vihar gurgaon,"28.5015000000,77.0442500000"
9408,love pizza sport sector 23 faridabad,"28.3613460000,77.2964270000"
9409,cakeaholic by vandana sainik farms new delhi,"28.5030528438,77.2001716867"
9410,calories clock dlf phase 4 gurgaon,"28.4625210000,77.0816660000"
9411,main land china hajipur,"28.5367021915,77.3664971441"
9412,the frying kitchen vasant kunj new delhi,"28.5261169318,77.1537520364"
9413,dial for cake south city 2 gurgaon,"28.4272105823,77.0375828817"
9414,sethi dairy sector 19 faridabad,"28.4167523472,77.3273553327"
9415,house of combos paharganj new delhi,"28.6403579449,77.2105856985"
9416,indinos pizza sector 41 noida,"28.5629377743,77.3625673726"
9417,brothers bakery loni ghaziabad,"28.7237480087,77.2893987224"
9418,dob nob sector 83 gurgaon,"28.4080061837,76.9347671047"
9419,green bowl krishna nagar new delhi,"28.6599510511,77.2831716388"
9420,fish wings gamma 1 greater noida,"28.4813251893,77.4988135323"
9421,krishna tiffin service catering rohini new delhi,"28.7430362542,77.1179891378"
9422,rimpyscurriesandbiryani,"28.6589345899,77.0840578526"
9423,chulha chowka lajpat nagar 1 new delhi,"28.5598696416,77.2464307398"
9424,pizza town naraina new delhi,"28.6355120645,77.1440481395"
9425,pm2am delivers sector 41 noida,"28.5635860000,77.3624730000"
9426,purani delhi k mashor parathe sector 18 noida,"28.5739070000,77.3246020000"
9427,dragon wagon paschim vihar new delhi,"28.6682291797,77.1120510623"
9428,bread crumbs sector 22 dwarka new delhi,"28.5600372000,77.0594013110"
9429,the masala chapter sikandarpur gurgaon,"28.4834510000,77.0968780000"
9430,baking toothsome wonders rajouri garden new delhi,"28.6463776125,77.1172988042"
9431,cake and the city vasant kunj new delhi,"28.5104117000,77.1616719000"
9432,ks town pitampura new delhi,"28.7147079912,77.1450610086"
9433,bakers oven dlf cyber city gurgaon,"28.4904351065,77.0925963297"
9434,best bikaner sweets rohini new delhi,"28.7258687492,77.0954468474"
9435,yummy snacks 2 shahdara new delhi,"28.6943230000,77.2750280000"
9436,md shamsher kathi roll 1 sector 26 noida,"28.5763512279,77.3350435495"
9437,da world of pizza azadpur new delhi,"28.7435900000,77.1949580000"
9438,chings town sector 50 gurgaon,"28.4282500000,77.0651390000"
9439,shudh vaishno rasoi sector 37 gurgaon,"28.4534778134,77.0169969276"
9440,shreya sweets laxmi nagar new delhi,"28.6397438358,77.2791151330"
9441,new mamta sweets sector 49 gurgaon,"28.4127091905,77.0552006364"
9442,maa bete ki rasoi lajpat nagar 4 new delhi,"28.5643388556,77.2475146875"
9443,waffle nation express vijay nagar new delhi,"28.6951801220,77.2030983120"
9444,kkr kolkata kathi roll malviya nagar new delhi,"28.5380320000,77.2095900000"
9445,khushdil ice cream and shakes moti nagar new delhi,"28.6587383573,77.1416385099"
9446,kamat rolls sector 72 noida,"28.5766809923,77.3928649351"
9447,pauls rasoi vasant kunj new delhi,"28.5214443043,77.1693903208"
9448,biryani hazir ho south city gurgaon,"28.4643320000,77.0593250000"
9449,bake bite khanpur new delhi,"28.5078070134,77.2322244197"
9450,situs chinese hut pandav nagar new delhi,"28.6197870130,77.2837493196"
9451,tom uncles paratha dlf phase 4 gurgaon,"28.4703037735,77.0701656863"
9452,patiala shahi chicken paschim vihar new delhi,"28.6699066000,77.1008386000"
9453,daddys fast food west patel nagar new delhi,"28.6510720544,77.1635897085"
9454,red chilli pizza cafe pandav nagar new delhi,"28.6233389959,77.2965622321"
9455,cake castle manesar gurgaon,"28.3666707298,76.9455821067"
9456,masala biryani sector 135,"28.5064228580,77.4097092077"
9457,shagun cake point vasundhara ghaziabad,"28.6588354439,77.3640288413"
9458,dadus cafe paschim vihar new delhi,"28.6749123375,77.1067091078"
9459,delhi 62 chinese fast food kalkaji new delhi,"28.5306152669,77.2575696185"
9460,mr cake indirapuram ghaziabad,"28.6474748155,77.3618733510"
9461,rainbow bakers vivek vihar old,"28.6369760337,77.3503197357"
9462,biryani da theka krishna nagar new delhi,"28.6595947759,77.2782118991"
9463,chocolate therapy by nishi sector 47 noida,"28.5556261127,77.3727731779"
9464,new amritsari chaap corner west patel nagar new delhi,"28.6497459805,77.1629258618"
9465,cake castle manesar gurgaon,"28.3666707298,76.9455821067"
9466,masala biryani sector 135,"28.5064228580,77.4097092077"
9467,shagun cake point vasundhara ghaziabad,"28.6588354439,77.3640288413"
9468,dadus cafe paschim vihar new delhi,"28.6749123375,77.1067091078"
9469,delhi 62 chinese fast food kalkaji new delhi,"28.5306152669,77.2575696185"
9470,mr cake indirapuram ghaziabad,"28.6474748155,77.3618733510"
9471,rainbow bakers vivek vihar old,"28.6369760337,77.3503197357"
9472,biryani da theka krishna nagar new delhi,"28.6595947759,77.2782118991"
9473,chocolate therapy by nishi sector 47 noida,"28.5556261127,77.3727731779"
9474,new amritsari chaap corner west patel nagar new delhi,"28.6497459805,77.1629258618"
9475,yummy snacks 2 shahdara new delhi,"28.6943230000,77.2750280000"
9476,md shamsher kathi roll 1 sector 26 noida,"28.5763512279,77.3350435495"
9477,da world of pizza azadpur new delhi,"28.7435900000,77.1949580000"
9478,chings town sector 50 gurgaon,"28.4282500000,77.0651390000"
9479,shudh vaishno rasoi sector 37 gurgaon,"28.4534778134,77.0169969276"
9480,police chowki kamla nagar new delhi,"28.6822042268,77.2059957683"
9481,second wife restaurant geeta colony new delhi,"28.6442443746,77.2737647966"
9482,kangra sweets lajpat nagar 1 new delhi,"28.5734145127,77.2414351255"
9483,tiffin mathura road new delhi,"28.5217692593,77.2935614800"
9484,shalimar vyanjan 1 shalimar bagh new delhi,"28.7063970721,77.1628222615"
9485,bikaner desi ghee wala 1 rohini new delhi,"28.7040265615,77.0872567222"
9486,new china grill subhash nagar new delhi,"28.6307810241,77.1184303612"
9487,choco smith gourmet bakery sheikh sarai new delhi,"28.5336880811,77.2311102971"
9488,kabab punjabi bagh new delhi,"28.6654671304,77.1260230243"
9489,pizza station model town 3,"28.7187380920,77.1758048236"
9490,pds natraj chaat snacks pitampura new delhi,"28.7000791203,77.1512337774"
9491,panjab di mahak ardee city,"28.4329970000,77.0798270000"
9492,momo singh tilak nagar new delhi,"28.6381627900,77.0879457146"
9493,two orange bakers cafe geeta colony new delhi,"28.6578024964,77.2735284269"
9494,murthal ke paranthe sohna road gurgaon,"28.4207080687,77.0404555276"
9495,the burger house greater kailash gk 1 new delhi,"28.5562981388,77.2377309948"
9496,bikaneri sweets corner and restaurant ahuja paschim vihar new delhi,"28.6927687707,77.0821105689"
9497,taste of chawla sector 51 noida,"28.5818123000,77.3723043000"
9498,anytime cake charmwood village faridabad,"28.4974280569,77.2948664054"
9499,punjabi rasoi subhash nagar new delhi,"28.6340280000,77.1193610000"
9500,celebration bakery rajendar nagar ghaziabad,"28.6818900889,77.3591542616"
9501,anarkali chinese corner dlf phase 4 gurgaon,"28.4702980000,77.0834360000"
9502,flavors of london vikaspuri new delhi,"28.6379647530,77.0815560222"
9503,mighty mealz dlf phase 1 gurgaon,"28.4716931182,77.0904200524"
9504,just kababs alaknanda new delhi,"28.5326730491,77.2531386092"
9505,pnut 1 sector 57 gurgaon,"28.4211863428,77.0856765658"
9506,cup n cakes vaishali ghaziabad,"28.6432598339,77.3403791338"
9507,sugar daddy bakers sector 72 noida,"28.5663073461,77.3819174990"
9508,snack adda sector 26 noida,"28.5794989635,77.3342754319"
9509,rolls kingdom sector 62 noida,"28.6278994000,77.3503962000"
9510,d k fast food badarpur border faridabad,"28.5039641548,77.3020061105"
9511,fry day magic roll sarita vihar new delhi,"28.5348963277,77.2913711518"
9512,r spezia food hub amrapali dream valley greater noida,"28.5991020000,77.4456480000"
9513,degchi dhaba sector 17 faridabad,"28.4104785919,77.3280792236"
9514,mohit di hatti 1 laxmi nagar new delhi,"28.6392253566,77.2809980437"
9515,new parathe wali gali 1 mayur vihar new delhi,"28.6000707210,77.3035406694"
9516,khanna juice corner moti nagar new delhi,"28.6648311045,77.1370056644"
9517,wat a biryani 1 indirapuram ghaziabad,"28.6396555592,77.3771602660"
9518,wandercrust pizzas kalkaji new delhi,"28.5305095195,77.2574281320"
9519,new gee pee sector 21 noida,"28.5880357000,77.3360987000"
9520,punjabi dhaba 1 kamla nagar new delhi,"28.6766193146,77.2079816088"
9521,the cake palace paschim vihar new delhi,"28.6625799772,77.1004203334"
9522,pishoris chicken hut uttam nagar new delhi,"28.6373423906,77.0601167902"
9523,punjabian di shaan rohini new delhi,"28.7278838979,77.0509496704"
9524,paratha craving rohini new delhi,"28.7401250768,77.1291736141"
9525,bikaner desi ghee wala 1 rohini new delhi,"28.7040265615,77.0872567222"
9526,new china grill subhash nagar new delhi,"28.6307810241,77.1184303612"
9527,choco smith gourmet bakery sheikh sarai new delhi,"28.5336880811,77.2311102971"
9528,kabab punjabi bagh new delhi,"28.6654671304,77.1260230243"
9529,pizza station model town 3,"28.7187380920,77.1758048236"
9530,pds natraj chaat snacks pitampura new delhi,"28.7000791203,77.1512337774"
9531,panjab di mahak ardee city,"28.4329970000,77.0798270000"
9532,momo singh tilak nagar new delhi,"28.6381627900,77.0879457146"
9533,two orange bakers cafe geeta colony new delhi,"28.6578024964,77.2735284269"
9534,murthal ke paranthe sohna road gurgaon,"28.4207080687,77.0404555276"
9535,the burger house greater kailash gk 1 new delhi,"28.5562981388,77.2377309948"
9536,bikaneri sweets corner and restaurant ahuja paschim vihar new delhi,"28.6927687707,77.0821105689"
9537,taste of chawla sector 51 noida,"28.5818123000,77.3723043000"
9538,anytime cake charmwood village faridabad,"28.4974280569,77.2948664054"
